Order_ID,Order_Date,Ship_Mode,Segment,Region,Category,Sub_Category,Sales,Quantity,Discount,Profit,Year,Month,YearMonth,Profit_Margin
ORD-1000,2021-05-02,Standard Class,Corporate,East,Office Supplies,Storage,173.25,3,0.0,24.26,2021,5,2021-05,14.0
ORD-1001,2023-03-17,First Class,Home Office,West,Office Supplies,Binders,57.91,2,0.0,10.9,2023,3,2023-03,18.82
ORD-1002,2022-12-01,Standard Class,Corporate,East,Furniture,Chairs,1997.73,7,0.2,-235.77,2022,12,2022-12,-11.8
ORD-1003,2023-04-21,Second Class,Home Office,East,Furniture,Bookcases,893.7,7,0.4,-255.78,2023,4,2023-04,-28.62
ORD-1004,2022-05-24,Standard Class,Corporate,East,Technology,Laptops,5174.54,7,0.0,625.78,2022,5,2022-05,12.09
ORD-1005,2022-12-04,Standard Class,Corporate,Central,Furniture,Tables,1615.37,2,0.4,-607.88,2022,12,2022-12,-37.63
ORD-1006,2021-10-23,Standard Class,Corporate,East,Office Supplies,Appliances,777.66,5,0.0,93.1,2021,10,2021-10,11.97
ORD-1007,2021-03-06,Standard Class,Consumer,East,Technology,Copiers,2503.48,1,0.2,255.16,2021,3,2021-03,10.19
ORD-1008,2022-01-14,Second Class,Corporate,West,Office Supplies,Binders,235.97,5,0.1,34.19,2022,1,2022-01,14.49
ORD-1009,2023-03-16,Standard Class,Consumer,South,Furniture,Chairs,935.68,3,0.0,59.58,2023,3,2023-03,6.37
ORD-1010,2023-02-06,Standard Class,Corporate,East,Office Supplies,Storage,470.55,6,0.0,68.54,2023,2,2023-02,14.57
ORD-1011,2023-10-18,Standard Class,Home Office,West,Technology,Accessories,427.29,4,0.0,91.71,2023,10,2023-10,21.46
ORD-1012,2022-08-01,Second Class,Corporate,Central,Technology,Copiers,4556.46,2,0.0,1377.36,2022,8,2022-08,30.23
ORD-1013,2021-07-09,Standard Class,Home Office,Central,Technology,Laptops,801.44,1,0.0,88.18,2021,7,2021-07,11.0
ORD-1014,2022-11-15,Standard Class,Consumer,East,Technology,Laptops,5152.16,7,0.0,739.26,2022,11,2022-11,14.35
ORD-1015,2023-08-10,Standard Class,Home Office,East,Technology,Laptops,798.07,1,0.5,-211.76,2023,8,2023-08,-26.53
ORD-1016,2022-12-31,Standard Class,Consumer,West,Furniture,Chairs,1460.66,6,0.1,-6.28,2022,12,2022-12,-0.43
